Date,Open,High,Low,Close,Adj Close,Volume
3/31/2022,108.07,109.400002,107.550003,108.019997,108.019997,932500
3/30/2022,107.379997,109.040001,107.370003,108.419998,108.419998,829700
3/29/2022,107.760002,108.290001,106.25,107.360001,107.360001,740800
3/28/2022,108.349998,109.349998,107.25,109.050003,109.050003,564100
3/25/2022,107.949997,109.620003,107.099998,108.529999,108.529999,564100
3/24/2022,105.610001,108.690002,105.260002,107.540001,107.540001,744300
3/23/2022,106.559998,107.370003,105.690002,106.830002,106.830002,944200
3/22/2022,106.379997,107.75,105.800003,106.419998,106.419998,811600
3/21/2022,105.480003,108,105.279999,106.370003,106.370003,930600
3/18/2022,103.389999,106.129997,103.239998,105.480003,105.480003,3922800
3/17/2022,102.559998,104.839996,101.550003,103.989998,103.989998,1157500
3/16/2022,103.650002,104.629997,100.480003,102.059998,102.059998,1209700
3/15/2022,102.419998,104.050003,101.93,103.970001,103.970001,894000
3/14/2022,102.139999,103.349998,101.309998,102.449997,102.449997,1001800
3/11/2022,103.07,104.120003,101.900002,101.970001,101.610001,735100
3/10/2022,102.339996,104.169998,102.019997,103.019997,102.656288,627000
3/9/2022,102.080002,104.290001,100.089996,102.889999,102.526749,1323600
3/8/2022,106.010002,106.489998,101.93,102.199997,101.839188,1329600
3/7/2022,108,109.389999,106.18,106.860001,106.482735,1390800
3/4/2022,105.099998,107.769997,104.510002,107.709999,107.329735,1431900
3/3/2022,104.720001,105.529999,103.540001,105.080002,104.709023,1395300
3/2/2022,104.629997,104.919998,101.080002,104.040001,103.672691,1501000
3/1/2022,102.739998,105.839996,102.68,104.75,104.380188,2075700
2/28/2022,97.400002,102.220001,96.900002,101.839996,101.480453,2988200
2/25/2022,95.839996,97.370003,95.18,97.150002,96.807022,1254100
2/24/2022,91.169998,95.529999,90.389999,95.480003,95.142914,1758000
2/23/2022,91.209999,92.68,90.610001,91.050003,90.728554,1216800
2/22/2022,92.93,93.050003,90.230003,90.690002,90.369827,1318600
2/18/2022,91.809998,93.080002,90.610001,93.010002,92.681633,1780700
2/17/2022,87.220001,91.989998,87,91.809998,91.48587,1413100
2/16/2022,84.129997,88.870003,83.779999,88.720001,88.406784,1768300
2/15/2022,82.529999,85.040001,81.07,84.5,84.201675,1937900
2/14/2022,88.989998,88.989998,86.620003,87.360001,87.051582,1700100
2/11/2022,87.779999,89.400002,87.099998,88.989998,88.675827,1115700
2/10/2022,87.860001,89.300003,87.580002,87.769997,87.460129,865400
2/9/2022,86.769997,88.480003,86.43,88.43,88.117805,1042100
2/8/2022,89.239998,89.239998,85.93,86.43,86.124863,1263500
2/7/2022,89.360001,89.440002,88.220001,88.580002,88.267273,813400
2/4/2022,89.790001,89.860001,87.760002,89.07,88.755547,691100
2/3/2022,90.110001,90.760002,89.059998,89.980003,89.662331,588100
2/2/2022,88.25,90.379997,87.589996,89.989998,89.672295,932700
2/1/2022,89.389999,90.239998,87.800003,88.57,88.257309,868600
1/31/2022,86.489998,89.879997,86.489998,89.449997,89.134201,1200100
1/28/2022,87.870003,87.870003,84.209999,87,86.692848,2071100
1/27/2022,93,93,87.709999,88.620003,88.307137,1733500
1/26/2022,93.860001,95.230003,92.949997,93.790001,93.458878,1220600
1/25/2022,91.949997,94.5,90.889999,93.32,92.99054,1513800
